svg,fill_paths,satin_paths,total_paths,tiny_paths,missing,invalid,fill_ratio,satin_ratio,is_circular,text_paths,shape_paths,has_text,easy_score
123.svg,16,33,49,0,0,0,0.32653061224489793,0.6734693877551021,False,33,16,True,70
110.svg,8,40,48,0,0,0,0.16666666666666666,0.8333333333333334,False,40,8,True,66
113.svg,10,33,43,0,0,0,0.23255813953488372,0.7674418604651163,False,33,10,True,70
132.svg,17,26,43,0,0,0,0.3953488372093023,0.6046511627906976,False,26,17,True,75
71.svg,7,33,40,0,0,0,0.175,0.825,False,33,7,True,70
105.svg,15,24,39,0,1,0,0.38461538461538464,0.6153846153846154,False,24,15,True,77
51.svg,14,20,34,0,0,0,0.4117647058823529,0.5882352941176471,False,20,14,True,80
43.svg,18,12,30,0,1,0,0.6,0.4,False,12,18,True,82
106.svg,9,21,30,0,0,0,0.3,0.7,False,21,9,True,79
130.svg,9,18,27,0,0,0,0.3333333333333333,0.6666666666666667,False,18,9,True,81
127.svg,8,19,27,0,0,0,0.2962962962962963,0.7037037037037037,False,19,8,True,80
59.svg,9,16,25,0,0,0,0.36,0.64,False,16,9,True,83
114.svg,4,21,25,0,0,0,0.16,0.84,False,21,4,True,77
111.svg,0,24,24,0,0,0,0.0,1.0,False,24,0,True,73
129.svg,7,16,23,0,0,0,0.30434782608695654,0.6956521739130435,False,16,7,True,82
94.svg,7,15,22,0,0,0,0.3181818181818182,0.6818181818181819,False,15,7,True,83
100.svg,8,14,22,0,0,0,0.36363636363636365,0.6363636363636364,False,14,8,True,84
109.svg,6,16,22,0,0,0,0.2727272727272727,0.7272727272727273,False,16,6,True,82
107.svg,3,18,21,0,0,0,0.14285714285714285,0.8571428571428572,False,18,3,True,78
81.svg,7,13,20,0,0,0,0.35,0.65,False,13,7,True,85
23.svg,12,7,19,0,0,0,0.631578947368421,0.368421052631579,False,7,12,True,86
95.svg,0,18,18,0,0,0,0.0,1.0,False,18,0,True,76
103.svg,4,13,17,0,0,0,0.23529411764705882,0.7647058823529411,False,13,4,True,83
27.svg,0,15,15,0,0,0,0.0,1.0,False,15,0,True,77
92.svg,14,1,15,0,0,0,0.9333333333333333,0.06666666666666665,False,1,14,True,79
97.svg,0,13,13,0,0,0,0.0,1.0,False,13,0,True,78
118.svg,10,3,13,0,0,0,0.7692307692307693,0.23076923076923073,False,3,10,True,85
126.svg,3,10,13,0,0,0,0.23076923076923078,0.7692307692307692,False,10,3,True,85
122.svg,12,1,13,0,0,0,0.9230769230769231,0.07692307692307687,False,1,12,True,80
124.svg,6,6,12,0,1,0,0.5,0.5,False,6,6,True,94
133.svg,1,10,11,0,0,0,0.09090909090909091,0.9090909090909091,False,10,1,True,82
68.svg,9,1,10,0,0,0,0.9,0.09999999999999998,False,1,9,True,83
76.svg,10,0,10,0,0,0,1.0,0.0,False,0,10,False,80
55.svg,0,9,9,0,0,0,0.0,1.0,False,9,0,True,80
67.svg,8,1,9,0,0,0,0.8888888888888888,0.11111111111111116,False,1,8,True,83
90.svg,3,6,9,0,0,0,0.3333333333333333,0.6666666666666667,False,6,3,True,90
96.svg,8,0,8,0,0,0,1.0,0.0,False,0,8,False,81
61.svg,6,1,7,0,0,0,0.8571428571428571,0.1428571428571429,False,1,6,True,85
131.svg,5,2,7,0,0,0,0.7142857142857143,0.2857142857142857,False,2,5,True,90
52.svg,4,3,7,0,0,0,0.5714285714285714,0.4285714285714286,True,3,4,True,94
78.svg,5,1,6,0,0,0,0.8333333333333334,0.16666666666666663,False,1,5,True,87
82.svg,5,1,6,0,0,0,0.8333333333333334,0.16666666666666663,False,1,5,True,87
117.svg,5,0,5,0,0,0,1.0,0.0,False,0,5,False,82
104.svg,4,1,5,0,0,0,0.8,0.19999999999999996,False,1,4,True,88
89.svg,5,0,5,0,0,0,1.0,0.0,False,0,5,False,82
128.svg,4,1,5,0,0,0,0.8,0.19999999999999996,False,1,4,True,88
85.svg,4,1,5,0,0,0,0.8,0.19999999999999996,False,1,4,True,88
37.svg,5,0,5,0,0,0,1.0,0.0,False,0,5,False,82
75.svg,4,0,4,0,0,0,1.0,0.0,False,0,4,False,83
38.svg,2,2,4,0,0,0,0.5,0.5,False,2,2,True,98
125.svg,4,0,4,0,0,0,1.0,0.0,False,0,4,False,83
50.svg,1,3,4,0,0,0,0.25,0.75,False,3,1,True,90
87.svg,4,0,4,0,0,0,1.0,0.0,False,0,4,False,83
79.svg,4,0,4,0,0,0,1.0,0.0,False,0,4,False,83
120.svg,4,0,4,0,0,0,1.0,0.0,False,0,4,False,83
121.svg,4,0,4,0,0,0,1.0,0.0,False,0,4,False,83
53.svg,3,1,4,0,0,0,0.75,0.25,False,1,3,True,90
102.svg,3,0,3,0,0,0,1.0,0.0,False,0,3,False,83
54.svg,2,1,3,0,0,0,0.6666666666666666,0.33333333333333337,False,1,2,True,93
80.svg,2,1,3,0,0,0,0.6666666666666666,0.33333333333333337,False,1,2,True,93
93.svg,3,0,3,0,0,0,1.0,0.0,False,0,3,False,83
63.svg,1,1,2,0,0,0,0.5,0.5,False,1,1,True,99
134.svg,1,1,2,0,0,0,0.5,0.5,False,1,1,True,99
115.svg,2,0,2,0,0,0,1.0,0.0,False,0,2,False,84
84.svg,1,0,1,0,0,0,1.0,0.0,True,0,1,False,84
108.svg,1,0,1,0,0,0,1.0,0.0,False,0,1,False,84
